m,position_mean,position_std,position_sem,qft_mean,qft_std,qft_sem,delta_qft_minus_position
3311,5.666987741308126,0.008817309250502964,0.0008817309250502964,5.667107547594165,0.008123694726454956,0.0008123694726454956,0.00011980628603946997
3476,5.624579244550965,0.0074068302543504145,0.0007406830254350415,5.624716857545286,0.007655145237255919,0.0007655145237255919,0.00013761299432069052
3642,5.580244925501163,0.00894876901612072,0.000894876901612072,5.579676786984167,0.008166792400392768,0.0008166792400392768,-0.0005681385169964415
3807,5.53524957123988,0.009159347861509792,0.0009159347861509793,5.535104777934886,0.008679531190881077,0.0008679531190881077,-0.0001447933049938399
3973,5.489394524282688,0.007427600036148772,0.0007427600036148771,5.489718313884346,0.00831109849344921,0.000831109849344921,0.0003237896016576869
4138,5.44240407717528,0.008701970971924947,0.0008701970971924947,5.441659518713675,0.007548698520340083,0.0007548698520340083,-0.0007445584616050382
4304,5.394872474015744,0.008227856706193396,0.0008227856706193396,5.394195610014986,0.00792041770111275,0.000792041770111275,-0.0006768640007583926
4469,5.348592451775996,0.008826526857475774,0.0008826526857475774,5.347068613994566,0.007845474585603135,0.0007845474585603135,-0.0015238377814306148
4635,5.298228090154302,0.0075466870700552115,0.0007546687070055212,5.298361912356236,0.00617516393673356,0.000617516393673356,0.00013382220193403072
4800,5.249147031741741,0.007535443328895854,0.0007535443328895855,5.247833945070722,0.008246005886836136,0.0008246005886836137,-0.0013130866710184819
4966,5.195296727787357,0.008263329151678366,0.0008263329151678366,5.19530182410864,0.007094611832008212,0.0007094611832008213,5.096321282316296e-06
5131,5.14411947208867,0.008053618412136525,0.0008053618412136524,5.145154013215643,0.007371073372508295,0.0007371073372508295,0.0010345411269723215
5297,5.094213467601884,0.007109220765580187,0.0007109220765580187,5.093394710330651,0.007029235296009239,0.0007029235296009239,-0.0008187572712330393
5462,5.0421147400695645,0.007570842626689339,0.0007570842626689339,5.042760899949769,0.007366154292612212,0.0007366154292612212,0.0006461598802047774
5627,4.989044088442575,0.00771281116860373,0.000771281116860373,4.98911594270626,0.007211882372677287,0.0007211882372677287,7.185426368483405e-05
5793,4.934813000125668,0.007816161364257031,0.0007816161364257032,4.934982064268069,0.006600644423478644,0.0006600644423478644,0.000169064142401254
5958,4.8808924816746755,0.006810677564075251,0.0006810677564075251,4.8810219112691335,0.006665036617088267,0.0006665036617088267,0.00012942959445805258
6124,4.823443236727254,0.007039856707969877,0.0007039856707969877,4.82453928422673,0.006372248287978677,0.0006372248287978677,0.001096047499475894
6289,4.769630671556891,0.006865608301289222,0.0006865608301289222,4.769843809768343,0.006250932848276783,0.0006250932848276783,0.00021313821145163558
6455,4.712282763840941,0.007277677029036158,0.0007277677029036158,4.712867347868861,0.007090037531248712,0.0007090037531248712,0.0005845840279201653
6620,4.656010196496994,0.006617604057061329,0.0006617604057061329,4.6559042535853346,0.006784011978442493,0.0006784011978442494,-0.00010594291165944014
6786,4.598978755193833,0.006542801966509687,0.0006542801966509688,4.598517518015543,0.006695741694921958,0.0006695741694921958,-0.0004612371782899416
6951,4.54132710472567,0.0057778049694287405,0.0005777804969428741,4.541109759579844,0.0058122686393357915,0.0005812268639335792,-0.0002173451458258313
7117,4.480516711487867,0.0061518840081750655,0.0006151884008175066,4.481794017808656,0.005325110190099667,0.0005325110190099667,0.001277306320789151
7282,4.422979522996868,0.0067375923224568274,0.0006737592322456828,4.42230519368413,0.005690983766867304,0.0005690983766867304,-0.0006743293127380312
7448,4.36215714649586,0.0057685966831290784,0.0005768596683129078,4.36166680023684,0.005390204802168585,0.0005390204802168585,-0.0004903462590197805
7613,4.302213222084597,0.005901780933194518,0.0005901780933194518,4.301824149609801,0.005381801773454271,0.0005381801773454272,-0.00038907247479613716
7779,4.241377035015708,0.006158285594328645,0.0006158285594328645,4.241406048318981,0.0057390205039977655,0.0005739020503997765,2.9013303273650592e-05
7944,4.178795458658115,0.005458920933034785,0.0005458920933034785,4.178612382893832,0.0051503717994179085,0.0005150371799417908,-0.0001830757642826697
8110,4.116402734125362,0.005773910959599776,0.0005773910959599776,4.116745319162726,0.005526599072541876,0.0005526599072541876,0.00034258503736417367
8275,4.054144417378436,0.005730887776902725,0.0005730887776902724,4.053656526868829,0.0058068176963834315,0.0005806817696383432,-0.0004878905096070696
8441,3.9919048020558074,0.005649554139604966,0.0005649554139604965,3.9914199309311154,0.005182380623596579,0.0005182380623596579,-0.0004848711246920878
8606,3.927286299157722,0.0051577464498946575,0.0005157746449894658,3.927530026256778,0.004837789029932591,0.0004837789029932591,0.000243727099055846
8772,3.8636087130828525,0.00500912519093133,0.000500912519093133,3.8630801886924524,0.0048843055073662985,0.0004884305507366299,-0.0005285243904000758
8937,3.797616473390198,0.005269373290426898,0.0005269373290426898,3.797315390799097,0.004716073079458166,0.0004716073079458166,-0.00030108259110095403
9103,3.7314622081366213,0.006063522057836613,0.0006063522057836613,3.731938432656313,0.005454111943876743,0.0005454111943876742,0.00047622451969164814
9268,3.66607600257101,0.005965346705954367,0.0005965346705954367,3.6659598700016285,0.004897436268887666,0.0004897436268887666,-0.00011613256938147742
9434,3.599130136308892,0.0055123008139421024,0.0005512300813942103,3.5990000925455403,0.005271017564905869,0.0005271017564905868,-0.00013004376335157275
9599,3.531491134876975,0.005488990874533304,0.0005488990874533304,3.5316002699799918,0.004835645857701026,0.0004835645857701026,0.00010913510301691076
9765,3.4634458328451476,0.005198987198146058,0.0005198987198146058,3.4634943900820527,0.005042644008950693,0.0005042644008950693,4.855723690511127e-05
9930,3.3937497938310663,0.0051432921245578205,0.000514329212455782,3.3941118229766754,0.0045075598012837125,0.00045075598012837126,0.0003620291456090108
10096,3.3266761547912522,0.0040420271807515605,0.0004042027180751561,3.3268643935819178,0.003825937324700856,0.0003825937324700856,0.00018823879066554028
10261,3.255652632007042,0.004923130023091557,0.0004923130023091557,3.2561301850998716,0.004082153262970836,0.0004082153262970836,0.00047755309282981884
10427,3.1846896822579667,0.004784899338000579,0.0004784899338000579,3.184833603159952,0.004737027630628354,0.00047370276306283536,0.00014392090198533936
10592,3.114333684410902,0.004419051230884827,0.0004419051230884827,3.1143898248161763,0.004051897845336205,0.0004051897845336205,5.6140405274351934e-05
10758,3.042781557705776,0.005125140124848166,0.0005125140124848166,3.0422559395833058,0.004287537145129453,0.00042875371451294526,-0.0005256181224702061
10923,2.9699941726308445,0.004109537983092346,0.0004109537983092346,2.970152378407635,0.0035805717698719746,0.00035805717698719747,0.00015820577679059866
11088,2.8970356034263194,0.003756568673750991,0.0003756568673750991,2.8972681388568677,0.0035574774546577384,0.00035574774546577386,0.0002325354305483529
11254,2.822968226946912,0.003774899531026991,0.0003774899531026991,2.822835326293486,0.003586136706664217,0.0003586136706664217,-0.00013290065342586033
11419,2.7494562877411513,0.0036822660466879317,0.00036822660466879315,2.7496333095455423,0.0034114070594246457,0.00034114070594246456,0.0001770218043910532
11585,2.6737499231582285,0.0037798639290745196,0.000377986392907452,2.6740133386368625,0.003404929506945726,0.0003404929506945726,0.0002634154786340659
11750,2.597732433899202,0.004059707124997868,0.0004059707124997868,2.5978453790581555,0.0038596374759940887,0.0003859637475994089,0.00011294515895343693
11916,2.5215016017635876,0.0038442191886922054,0.00038442191886922054,2.521853593683026,0.003699706678503507,0.0003699706678503507,0.00035199191943835473
12081,2.4446243546703785,0.0031478301443289775,0.00031478301443289776,2.4449103489649464,0.0030474829919021353,0.00030474829919021354,0.0002859942945678817
12247,2.3668781593914066,0.003292622414072934,0.00032926224140729344,2.367025545204656,0.0028253512994032225,0.0002825351299403223,0.00014738581324946765
12412,2.2882545926599906,0.0029680808553173223,0.0002968080855317322,2.288276748716078,0.0029275341905293435,0.00029275341905293437,2.2156056087130338e-05
12578,2.2084527883029197,0.00392072123891444,0.00039207212389144396,2.20850148013575,0.0033364365619180654,0.0003336436561918065,4.86918328301833e-05
12743,2.1286066204485223,0.003218408490546068,0.0003218408490546068,2.1284224194297137,0.0028303794500286242,0.0002830379450028624,-0.0001842010188086718
12909,2.0467193737253346,0.0033978296922561055,0.00033978296922561053,2.046911812837826,0.0027740970750573177,0.0002774097075057318,0.0001924391124914493
13074,1.9654652892165103,0.0028384773404851603,0.00028384773404851603,1.965505956298227,0.0027515145109255133,0.00027515145109255134,4.066708171679423e-05
