m,order,mean,std,sem,count,minimum,maximum
2980,1.0,5.750931537460634,0.008853068629164594,0.0006260064861992176,200,5.7231806361455115,5.771713978673193
2980,2.0,4.371250644584639,0.01422536754215801,0.001005885385393094,200,4.3169071319753645,4.406249976618951
2980,inf,2.3580024918554328,0.009166284748915099,0.0006481542104244696,200,2.3227233507269776,2.3819692800098062
3145,1.0,5.710398341094654,0.008525393057124048,0.0006028363242973126,200,5.688049875975636,5.735466961699271
3145,2.0,4.264866370052297,0.01209167086284202,0.0008550102462991384,200,4.2304778787500945,4.30159994548671
3145,inf,2.286450724195959,0.00746280275396973,0.0005276998433989638,200,2.2646094642051735,2.309350595351985
3311,1.0,5.66656477271858,0.008897224364864566,0.0006291287682133908,200,5.642827200532268,5.699293151322419
3311,2.0,4.159655202755763,0.01197226325820159,0.0008465668536024895,200,4.132349726693077,4.198477466844516
3311,inf,2.218042657163322,0.007381014319528689,0.0005219165277373746,200,2.200958533559155,2.2418385755096293
3476,1.0,5.6247322816370025,0.008029376636943416,0.0005677626668683525,200,5.6045071221239215,5.64406912003333
3476,2.0,4.058731669250868,0.011458159087945327,0.0008102141991000407,200,4.0291342202205485,4.086679054523101
3476,inf,2.153530027591753,0.007028476958553989,0.0004969883718806927,200,2.135660763526789,2.1720089650805905
3642,1.0,5.580750627468096,0.008793525838605019,0.000621796175101673,200,5.557772714951766,5.605746631523023
3642,2.0,3.9590854419582864,0.011719764587274013,0.0008287125013571414,200,3.92903859154469,3.988394445705113
3642,inf,2.0915014395747566,0.006917604757603002,0.0004891485233669406,200,2.0741139641826605,2.107885473572287
3807,1.0,5.53408957715947,0.008888959043339847,0.0006285443217235092,200,5.512679509187414,5.557367319648755
3807,2.0,3.859398991355566,0.011656403078958346,0.0008242321661375198,200,3.829066752600861,3.8852620754424008
3807,inf,2.0306753496423156,0.006828721923594019,0.0004828635579010576,200,2.010712790229979,2.0463665737127985
3973,1.0,5.488766374007027,0.007943025135882433,0.0005616566936717666,200,5.47025370731284,5.508880093834104
3973,2.0,3.764821104553157,0.010849168966912317,0.0007671520946742349,200,3.736224454166861,3.7906482059941946
3973,inf,1.973910997838467,0.006375848997983515,0.00045084060622955976,200,1.957007443692986,1.9886452958299987
4138,1.0,5.44142676688596,0.00887600706041595,0.0006276284782279792,200,5.420914075619147,5.463416356193676
4138,2.0,3.6715313479873477,0.01068211964044548,0.0007553399235205004,200,3.6466429882691553,3.695996576663077
4138,inf,1.9188164175001816,0.006079729974707459,0.0004299018292898761,200,1.9047790197573795,1.9325051456482494
4304,1.0,5.393932311343021,0.00806381493161408,0.0005701978220377652,200,5.369871078696772,5.412153723008299
4304,2.0,3.579413806646849,0.008995779473832892,0.000636097666800599,200,3.551296465192756,3.602340693414207
4304,inf,1.8650102586583444,0.0051246437589080405,0.0003623670353089194,200,1.849828097615993,1.878206993689184
4469,1.0,5.34731382082791,0.008172789491985907,0.0005779034870993393,200,5.325885588452934,5.37688365217024
4469,2.0,3.492804986013889,0.009753154855480216,0.0006896521936272563,200,3.463011595416859,3.5214777554407295
4469,inf,1.8150540254344074,0.005506211865278572,0.0003893479748588307,200,1.79878464585985,1.8320469450807897
4635,1.0,5.297249420274177,0.008047848259255145,0.0005690688078079665,200,5.274236759239598,5.319502515261481
4635,2.0,3.405207046343418,0.008878464193426373,0.0006278022237693739,200,3.381166411581757,3.428509140598308
4635,inf,1.765185902947536,0.004940715538211313,0.00034936134609829625,200,1.7523489297794288,1.778117125947145
4800,1.0,5.248305428300873,0.007694646967689144,0.0005440937049689499,200,5.227863434246238,5.265252739612831
4800,2.0,3.3208080174273844,0.0080938492054634,0.0005723215659084519,200,3.299689760300801,3.3399854027864753
4800,inf,1.7175092974005415,0.004480131775165827,0.00031679315588290814,200,1.7060027096492532,1.7278004422449802
4966,1.0,5.195600552991119,0.008012046101761403,0.0005665372129734732,200,5.168686498753717,5.216885983894497
4966,2.0,3.235982899835858,0.008391308879990395,0.0005933551412072102,200,3.2087267651095517,3.2587872877286657
