m,order,mean,std,sem,count,minimum,maximum
825,inf,3.8704649167128373,0.037723303937219815,0.001192915613084121,1000,3.741431036784553,3.979555375705104
841,1.0,6.1394759080526695,0.01577869839983173,0.0004989662545632243,1000,6.092170279544619,6.185927897768397
841,2.0,5.699040460914745,0.025604195544966336,0.0008096757557842979,1000,5.6172413865517195,5.774493871547274
841,inf,3.8518055570067466,0.03630913729540221,0.0011481957372923694,1000,3.7286206533677757,3.9629831013786534
857,1.0,6.139166401926545,0.016289357092822112,0.000515114700331367,1000,6.080637399021094,6.180466810799683
857,2.0,5.693685715382176,0.027197398806272425,0.0008600572665976544,1000,5.591011528887046,5.769590482912546
857,inf,3.833044208095906,0.038151644326653904,0.0012064609255286734,1000,3.6997617938060814,3.95099369689449
873,1.0,6.137779897862192,0.015506445194556764,0.0004903568522737217,1000,6.089450211881954,6.186967411219199
873,2.0,5.687463283979912,0.02562991112952266,0.0008104889539699043,1000,5.597252819423459,5.764168283458838
873,inf,3.8157779853000093,0.03553536290457774,0.0011237268425912232,1000,3.6852759076096926,3.9294567950469856
889,1.0,6.136602862870085,0.015486537083625749,0.0004897273025291887,1000,6.077334576192211,6.18202473304674
889,2.0,5.680911317727592,0.02579797878811431,0.000815803719991516,1000,5.59604714955849,5.751793026930247
889,inf,3.7968778286500475,0.03530571099594521,0.0011164646115883864,1000,3.676074309121484,3.894718448364032
905,1.0,6.135421558448118,0.015059971869943624,0.0004762381260708694,1000,6.089371968826572,6.177833109785181
905,2.0,5.674591187573007,0.0255919360377294,0.0008092880761256975,1000,5.592593998733102,5.746553404475116
905,inf,3.779051833878032,0.03531044661517943,0.0011166143650175007,1000,3.6622412370255297,3.8853651714844344
922,1.0,6.134207314351656,0.014640578123666906,0.00046297573132421746,1000,6.076058217005271,6.1833273194209895
922,2.0,5.667525667873006,0.024331306434013263,0.000769423467789913,1000,5.563140480456867,5.737425021277923
922,inf,3.759683483989849,0.03197747299029759,0.001011216484658558,1000,3.6399307022400182,3.853235064697147
938,1.0,6.132931147313155,0.014857460950721428,0.00046983416851290423,1000,6.08455738566601,6.1766399302058685
938,2.0,5.660686775440599,0.024770342019123356,0.000783306992018039,1000,5.58559885118434,5.730602242921939
938,inf,3.74192247819745,0.032717884026971046,0.001034630337464704,1000,3.64487454559463,3.82971649554216
954,1.0,6.13180221028168,0.014702203151357833,0.00046492448580796023,1000,6.085642894110931,6.177785353445848
