m,sample_count,position_mean,position_std,position_sem,qft_mean,qft_std,qft_sem,delta_qft_minus_position
5627,100,4.989044088442576,0.007712811168603621,0.0007712811168603621,4.98911594270626,0.007211882372677349,0.000721188237267735,7.185426368394587e-05
5793,100,4.934813000125668,0.007816161364257002,0.0007816161364257001,4.934982064268069,0.006600644423478653,0.0006600644423478653,0.000169064142401254
5958,100,4.8808924816746755,0.0068106775640752746,0.0006810677564075275,4.8810219112691335,0.006665036617088299,0.0006665036617088299,0.00012942959445805258
6124,100,4.823443236727254,0.007039856707969844,0.0007039856707969844,4.82453928422673,0.0063722482879786865,0.0006372248287978687,0.001096047499475894
6289,100,4.769630671556891,0.006865608301289239,0.0006865608301289238,4.769843809768343,0.006250932848276706,0.0006250932848276705,0.00021313821145163558
6455,100,4.712282763840941,0.007277677029036228,0.0007277677029036228,4.712867347868861,0.0070900375312486115,0.0007090037531248611,0.0005845840279201653
6620,100,4.656010196496994,0.006617604057061337,0.0006617604057061337,4.6559042535853346,0.006784011978442481,0.0006784011978442481,-0.00010594291165944014
6786,100,4.5989787551938335,0.0065428019665098435,0.0006542801966509844,4.598517518015543,0.006695741694921936,0.0006695741694921935,-0.0004612371782908298
6951,100,4.54132710472567,0.005777804969428641,0.0005777804969428641,4.541109759579845,0.005812268639335793,0.0005812268639335793,-0.00021734514582494313
7117,100,4.480516711487867,0.006151884008175055,0.0006151884008175055,4.481794017808657,0.00532511019009969,0.000532511019009969,0.0012773063207900393
7282,100,4.422979522996867,0.006737592322456791,0.0006737592322456791,4.42230519368413,0.0056909837668672174,0.0005690983766867217,-0.000674329312737143
7448,100,4.36215714649586,0.005768596683129059,0.000576859668312906,4.36166680023684,0.005390204802168616,0.0005390204802168616,-0.0004903462590197805
7613,100,4.302213222084598,0.005901780933194579,0.0005901780933194579,4.301824149609803,0.005381801773454409,0.0005381801773454409,-0.000389072474795249
7779,100,4.241377035015708,0.006158285594328632,0.0006158285594328632,4.241406048318981,0.005739020503997685,0.0005739020503997685,2.9013303273650592e-05
7944,100,4.178795458658114,0.005458920933034763,0.0005458920933034764,4.178612382893832,0.005150371799417929,0.0005150371799417929,-0.00018307576428178152
8110,100,4.116402734125362,0.005773910959599718,0.0005773910959599719,4.116745319162726,0.005526599072541806,0.0005526599072541806,0.00034258503736417367
8275,100,4.054144417378436,0.005730887776902867,0.0005730887776902868,4.05365652686883,0.005806817696383371,0.0005806817696383371,-0.0004878905096061814
8441,100,3.9919048020558083,0.005649554139604988,0.0005649554139604988,3.9914199309311154,0.005182380623596614,0.0005182380623596613,-0.000484871124692976
8606,100,3.927286299157725,0.005157746449894864,0.0005157746449894864,3.9275300262567776,0.004837789029932639,0.0004837789029932639,0.00024372709905273737
8772,100,3.8636087130828525,0.005009125190931379,0.0005009125190931379,3.8630801886924524,0.004884305507366273,0.0004884305507366273,-0.0005285243904000758
8937,100,3.7976164733901983,0.005269373290426749,0.0005269373290426749,3.797315390799097,0.004716073079458233,0.0004716073079458233,-0.0003010825911013981
9103,100,3.731462208136622,0.006063522057836654,0.0006063522057836654,3.731938432656313,0.0054541119438767886,0.0005454111943876789,0.00047622451969075996
9268,100,3.6660760025710095,0.005965346705954648,0.0005965346705954648,3.6659598700016285,0.004897436268887688,0.0004897436268887688,-0.00011613256938103333
9434,100,3.599130136308892,0.005512300813942187,0.0005512300813942186,3.599000092545541,0.00527101756490584,0.000527101756490584,-0.00013004376335068457
