m,entropy_mean,entropy_std,entropy_sem,entropy_count,D_NM,T_NM
696,6.142855706673243,0.017377783662878277,0.0007771581113696223,500,6.862903233911421,6.265484065855823
712,6.142548470354126,0.018560121806870934,0.0008300338806167926,500,6.866154461851913,6.26372487135305
728,6.143139692109513,0.017173912743484284,0.0007680407266816153,500,6.869253052261969,6.261932575549518
744,6.143163759380792,0.016969008429244273,0.0007588771271711425,500,6.872209548896818,6.260107872977209
760,6.143034631126119,0.017582676276531855,0.0007863211876139623,500,6.8750335553137205,6.2582514282224535
776,6.14217338720368,0.016775818886265833,0.0007502374281583042,500,6.877733835251792,6.256363877817605
792,6.142030048826929,0.01596488936392071,0.0007139715574198016,500,6.880318400835265,6.254445831976659
809,6.141541107558869,0.01664660786417001,0.0007444589355813346,500,6.882945910158043,6.252375148804394
825,6.140143226588011,0.016632661408866427,0.0007438352311392551,500,6.885314313260373,6.250396029239356
841,6.139661295018458,0.015073618966670383,0.0006741127335281022,500,6.887587628880657,6.248388135376398
857,6.138331631675327,0.015869858974891977,0.0007097216692238717,500,6.889771522862583,6.246351985653951
873,6.137647666264157,0.015576765551722901,0.0006966141328645884,500,6.8918712192493965,6.2442880790899675
889,6.137074011576864,0.014773314998229965,0.0006606827317811877,500,6.893891542227649,6.2421968963497925
905,6.1352982247163945,0.015504949183782599,0.0006934024072523554,500,6.89583695328669,6.240078900737115
922,6.134365900444676,0.014872504209425527,0.0006651186081585449,500,6.897826487826535,6.237799651005103
938,6.133049051560836,0.015181811197337558,0.000678951237176285,500,6.8996301081463205,6.235627747709733
954,6.13202296307465,0.014822021328114748,0.0006628609450723258,500,6.901370554016607,6.233430351734249
970,6.131446826730597,0.013995051806346519,0.0006258777437524408,500,6.903051120392631,6.2312078646770885
986,6.127875056381632,0.014126105723596934,0.0006317386531062319,500,6.904674875591532,6.228960674833168
1002,6.12690085012677,0.013807286149007333,0.0006174806082794337,500,6.906244680421435,6.226689157841484
1019,6.125595064723966,0.014559945331816003,0.0006511405502124262,500,6.907856468453659,6.224249422189171
1035,6.124752204516336,0.01421143221434242,0.0006355545697780003,500,6.909323239636093,6.221928865910939
1051,6.123591394861846,0.014010848141783399,0.0006265841773490857,500,6.910743702999127,6.219585060311389
1067,6.121550025288247,0.014645090550419982,0.0006549483601475778,500,6.912120037062705,6.217218335464159
1083,6.120128037845174,0.014106277461524392,0.0006308519062688343,500,6.913454284733858,6.2148290114934746
1099,6.119172848770539,0.01256004301021046,0.0005617021994230335,500,6.9147483636975835,6.212417399015028
1115,6.116057478061119,0.012695486875662767,0.0005677594332287674,500,6.916004075962359,6.209983799551192
1132,6.1139427667132145,0.013642781371172516,0.0006101237309621907,500,6.917298125765789,6.207374336293968
1148,6.112869493534394,0.012634045056168478,0.0005650116715277573,500,6.918479948751412,6.204896304144845
1164,6.111877452435126,0.01318334336984186,0.000589577038913751,500,6.919628290460774,6.202397155845956
1180,6.109905864068576,0.013020187760541401,0.0005822804982476265,500,6.920744564049661,6.199877159778242
1196,6.107087572307036,0.012741872727624195,0.0005698338715923672,500,6.9218301036057674,6.197336576998385
1212,6.105160108408803,0.013080041164349352,0.000584957223839613,500,6.9228861696824815,6.194775661532649
1229,6.10294994846213,0.013163426444233864,0.0005886863269225053,500,6.9239772778372535,6.192032686732262
1245,6.100076118540511,0.012517650247435688,0.0005598063374366652,500,6.9249762480137225,6.189430608791039
1261,6.098254721228801,0.012861078730024428,0.0005751649260862257,500,6.9259491981246875,6.1868089352294655
1277,6.095319839384685,0.012181948443050759,0.0005447932963411845,500,6.926897137548989,6.184167894227473
1293,6.09348957701877,0.01173631476182961,0.0005248639522557051,500,6.927821023690111,6.1815077082038234
1309,6.09150145236233,0.01258287972080689,0.0005627234881685556,500,6.9287217654443225,6.178828594029868
1325,6.089709837464102,0.011897385273133637,0.0005320672445046343,500,6.929600226127633,6.176130763232851
1342,6.0862792787281546,0.012322262100452626,0.0005510683138636283,500,6.930510094385962,6.173244040899763
1358,6.0847902938059235,0.012763235267954467,0.0005707892334393787,500,6.931345147378422,6.17050825329504
1374,6.082180896715631,0.01215308351356601,0.0005435024174513117,500,6.932160308735913,6.167754365607081
1390,6.079803013379691,0.012060156340329956,0.0005393465879250574,500,6.932956283873331,6.164982569548296
1406,6.076764465364137,0.01125886462423236,0.0005035117329850237,500,6.93373374508746,6.162193052377046
1422,6.0744825847987665,0.011570739476762328,0.0005174592003996182,500,6.9344933334231795,6.159385997049589
1438,6.072223135519333,0.011597416978431677,0.0005186522545436688,500,6.935235660545784,6.156561582365181
1455,6.070266238090173,0.011072615859831565,0.0004951824350265132,500,6.93600612258585,6.1535418164907325
1471,6.066361574675612,0.011401403417144835,0.0005098862615926849,500,6.93671466328509,6.150682145782036
1487,6.063629043689,0.011431813105470392,0.0005112462241980953,500,6.937407649958439,6.147805638852408
1503,6.061719607905294,0.011533164869252559,0.0005157788128672239,500,6.938085590855168,6.144912458976712
1519,6.058277065820472,0.011209508605567808,0.0005013044647283699,500,6.938748972207584,6.142002765915303
1535,6.056287701735866,0.011287733539687638,0.0005048027901329176,500,6.93939825947591,6.139076716024983
1552,6.053894959787057,0.011131144818757769,0.0004977999296427389,500,6.940073182486049,6.135950036933542
1568,6.051038954378386,0.01119106012594871,0.0005004794236381734,500,6.940694787501924,6.132990730904435
1584,6.048480066375674,0.011253729949362601,0.0005032821033440009,500,6.941303605582396,6.130015526809154
1600,6.045156790728997,0.011097328505536352,0.0004962876181405087,500,6.941900028234016,6.127024568225965
