m,states_count,states_mean,states_std,states_sem,states_min,states_max,partitions_count,partitions_mean,partitions_std,partitions_sem,partitions_min,partitions_max
12037,100,2.4655312787413397,0.003569863967955139,0.0003569863967955139,2.4575413414126737,2.4747860346971793,100,2.467629676198937,0.0034472746012553326,0.00034472746012553324,2.4595942531872064,2.475357617036223
12372,100,2.307668902876517,0.003303982624691383,0.0003303982624691383,2.3011155767133524,2.3164356622882982,100,2.307733168949393,0.002990978558360884,0.0002990978558360884,2.3005153357806294,2.3141753121378024
12706,100,2.1459385330386365,0.003380215722635827,0.0003380215722635827,2.136359835698103,2.1534229082857608,100,2.146248094683192,0.003169249682662056,0.0003169249682662056,2.1335015568798372,2.1522970766402203
13041,100,1.981906829113209,0.0029443235356271143,0.0002944323535627114,1.9743332923538885,1.9893682474324608,100,1.9828729280666084,0.0028395057753517017,0.0002839505775351702,1.9761821657313543,1.9888475693630316
13375,100,1.8136965260916054,0.002378165378586374,0.0002378165378586374,1.8079630431695475,1.8201021163650533,100,1.814343168758915,0.0028777093986278954,0.00028777093986278956,1.8063701723808003,1.8202670461021686
13709,100,1.6427362579318991,0.0026623849664268737,0.0002662384966426874,1.6364373767241711,1.6491702510590516,100,1.6427435452473031,0.0023031173959640267,0.00023031173959640267,1.6377695069863465,1.6473707445050896
14044,100,1.4654354537932903,0.0025206035607282843,0.0002520603560728284,1.458109016738343,1.4714978883907341,100,1.4662989327520537,0.002073974018269625,0.0002073974018269625,1.4623533233980477,1.4712114726996974
14378,100,1.2847777775874456,0.0019608503019068707,0.00019608503019068706,1.2781524939338915,1.289404255437678,100,1.2826139554023213,0.0019222444688639742,0.00019222444688639742,1.2767362929279487,1.2865055645144543
14712,100,1.0978103459158597,0.0020686059502971724,0.00020686059502971724,1.093382374498093,1.1032481002104233,100,1.0962917882745105,0.0017723210728894856,0.00017723210728894855,1.0921685988180359,1.1004940510885515
15047,100,0.9045014502916139,0.0016865479842678435,0.00016865479842678434,0.9001768972473607,0.9082734505406242,100,0.9048617660696451,0.0014080687578268997,0.00014080687578268996,0.901577213867615,0.9083996959961467
15381,100,0.7031795225076836,0.0014420592580306705,0.00014420592580306705,0.698958191118764,0.70654562032812,100,0.7029322981964,0.0014028880237907891,0.00014028880237907892,0.6991692149978384,0.706816734463694
15715,100,0.4919057983457116,0.001211016249100364,0.00012110162491003639,0.48797665822880704,0.4948586086191492,100,0.49218809153865806,0.0011989623683784942,0.00011989623683784941,0.48871288594627027,0.4948535664101555
16050,100,0.263722826169665,0.0009985677878495644,9.985677878495643e-05,0.2606419912690858,0.2658696471782015,100,0.2636755655636757,0.0008275870100044259,8.275870100044259e-05,0.26174098514155525,0.2659100977246932
16384,100,0.0,0.0,0.0,-0.0,-0.0,100,0.0,0.0,0.0,-0.0,-0.0
