m,sample,entropy_multiple_states,entropy_multiple_partitions
335,45,6.108760916806319,6.119599301136401
335,46,6.059372646566055,6.072232334489133
335,47,6.032133161079977,6.07447091050167
335,48,6.069202444693348,6.111740747932932
335,49,6.078152713432356,6.085099191000529
335,50,6.002260110812074,6.046897335069975
335,51,5.981143661822784,6.04254551870941
335,52,6.111519715722652,6.048723933225083
335,53,5.9986736390818045,6.1243462680712275
335,54,6.06888771936858,6.115659099441272
335,55,6.020104274169315,6.112705640021473
335,56,6.039556486727696,6.090790433936315
335,57,6.1008567295329215,6.088570985742958
335,58,6.115105295288932,6.040021814882027
335,59,5.997766399578303,6.112150678473229
335,60,6.105559921035115,6.0762690527818
335,61,6.036003468125676,5.996427025130148
335,62,6.109148589118654,6.109900302740811
335,63,6.104664870752325,6.042322600239107
335,64,6.120631850270064,6.114464863165069
335,65,6.1057176559149475,6.1244734797306695
335,66,6.095269542462185,6.08810181113786
335,67,6.1113638669276655,6.080299589826291
335,68,6.118135634537936,6.033379128432563
335,69,6.064186588503276,6.102972262694061
335,70,6.115735385719022,6.081426822726068
335,71,6.093651033811081,6.09228119691776
335,72,6.017387935996677,6.086126756635324
335,73,6.063577172489921,6.097367697415765
335,74,6.035472213447094,6.111858448709848
335,75,6.0961459732584045,6.092393619810158
335,76,5.979138875656771,6.133897766882181
335,77,6.071034030626611,6.0862859887659555
335,78,6.088204731484885,6.08354075601662
335,79,6.099017143532849,6.131933210506485
335,80,6.080553040726866,6.10814468738337
335,81,6.04447505690259,6.11170451672437
335,82,6.147098085180597,6.048723933225083
335,83,6.02856784473621,6.033714681659277
335,84,6.057065490397309,6.132655616894341
335,85,6.037950811661351,6.051335733298365
335,86,6.090194662845609,6.044693247395907
335,87,6.131287389088862,6.064544526557549
335,88,6.0028263108614155,6.102470880771222
335,89,6.146166833601467,6.133854278116863
335,90,6.038540227841612,6.096405362312156
335,91,6.068425387384361,6.105781530209818
335,92,6.042676368654998,6.039532719382359
335,93,6.020868157347741,6.1049080120468044
335,94,6.060902145003729,6.08968052253141
335,95,5.992810292544299,6.1145929432447055
335,96,6.093468106245707,6.071765098123952
335,97,6.037967911101065,6.024070399389226
335,98,6.143646281627769,5.9981194501367785
335,99,6.1035552929224615,6.045024919997625
670,0,6.143244067732643,6.116427373480345
670,1,6.139813646082094,6.161855247540178
670,2,6.1772921581103155,6.099175881552871
670,3,6.166207129714466,6.144636971194585
670,4,6.135876611972989,6.141828267140983
670,5,6.158619688434029,6.155937412390223
670,6,6.131481680300527,6.093921266438277
670,7,6.176399390707365,6.153857053428285
670,8,6.158630041027091,6.091456654805581
670,9,6.127360658004727,6.130408791783765
670,10,6.1404191761099485,6.125358272908273
670,11,6.108992021779249,6.144636971194585
670,12,6.166699854970082,6.159318871883119
670,13,6.106678513612484,6.14724504199708
670,14,6.137715104966545,6.125339954795534
670,15,6.122426132485832,6.153483583843584
670,16,6.150392967589887,6.125634829170348
670,17,6.175266245419803,6.145314645854796
670,18,6.119920423103205,6.15343352606262
670,19,6.151013108579662,6.129896989633517
670,20,6.191352524200386,6.159702005716081
670,21,6.100666771104729,6.157368893131251
670,22,6.129372143603173,6.167844157585134
670,23,6.14282068584393,6.1380773053975854
670,24,6.144069574662352,6.135358052611684
670,25,6.146048749835918,6.160783636760882
670,26,6.136268881620805,6.118240174092147
670,27,6.156696150886079,6.153496714353599
670,28,6.120813531386608,6.118297824754171
670,29,6.123539124945734,6.103382038504921
670,30,6.165389880373516,6.154776318764128
670,31,6.15554352789263,6.1135881299084565
670,32,6.133513296441933,6.145881588916505
670,33,6.1455415802284925,6.113782225746246
670,34,6.148286864933273,6.135972608774586
670,35,6.1196639431778195,6.122507758064263
670,36,6.144354402034405,6.125339954795534
670,37,6.118180249409031,6.151105240746513
670,38,6.1127831654288265,6.142991554209756
670,39,6.133838689851941,6.134977202994447
670,40,6.153465082111363,6.159834129938007
670,41,6.147798190250299,6.152757665293505
670,42,6.128923983340186,6.144495595403751
670,43,6.139088301700765,6.138868344042537
670,44,6.147187856047893,6.147155068357079
670,45,6.146330708346346,6.118297824754171
670,46,6.126006843043977,6.149433573191229
670,47,6.172462422114652,6.1271594051837805
670,48,6.140662227488293,6.138929831996857
670,49,6.142339380795002,6.14897795946813
670,50,6.131003467138422,6.161074326383132
670,51,6.136106939943401,6.111951800942608
670,52,6.1455805632326514,6.116770241946192
670,53,6.127903466965,6.144926992352442
670,54,6.151503059653995,6.141008699149231
670,55,6.148190955712091,6.115142353660327
670,56,6.116786074478238,6.14724504199708
670,57,6.121919877886247,6.162619910553886
670,58,6.127920988998111,6.145290037725881
670,59,6.1393999023720935,6.118122713737797
670,60,6.160859284125925,6.124707619420303
670,61,6.124900498128302,6.143940083146417
670,62,6.146125454654484,6.143286551189516
670,63,6.145244370382974,6.141567843856459
670,64,6.1275750296332685,6.147775784586511
670,65,6.162992210436202,6.147646136311414
670,66,6.123748276876186,6.127848646355099
670,67,6.138908144356053,6.107076080679438
670,68,6.137648387862457,6.1303385602712215
670,69,6.154492166430957,6.141620244640535
670,70,6.1539074896578265,6.149704905398965
670,71,6.123150591115835,6.120414031415515
670,72,6.134363701921628,6.155673643517431
670,73,6.133028136030821,6.153483583843584
670,74,6.118324846071233,6.1702706542916665
670,75,6.168179573834243,6.102138988260571
670,76,6.161422719771336,6.135755207898995
670,77,6.116715460529994,6.153857053428285
670,78,6.1378679160719365,6.148902909303456
670,79,6.178070351455637,6.148613221376864
670,80,6.178084692940049,6.12839992189269
670,81,6.165508808833265,6.1184519112056215
670,82,6.116067013548289,6.114967746139679
670,83,6.139026236931537,6.157559730655841
670,84,6.113286426008823,6.139242446269219
670,85,6.137717943791235,6.1390073833623955
670,86,6.157218179112703,6.155533069820957
670,87,6.11655915261125,6.1564328144219225
670,88,6.136977809114423,6.125821652103543
670,89,6.134778189757083,6.139454063814368
670,90,6.169008929340192,6.141809779454569
670,91,6.122540058565865,6.097408850198428
670,92,6.152224257407765,6.1610092037223
670,93,6.150747936983755,6.162533692490238
670,94,6.1255201902997225,6.150917513786197
670,95,6.127016023814949,6.131231882229606
670,96,6.13216823302082,6.116613758858186
670,97,6.1550127173986,6.166027236280799
670,98,6.174418063241397,6.108097051026684
670,99,6.150232449995352,6.15398792117645
1004,0,6.143991645339772,6.129898966775306
1004,1,6.142426291253305,6.126915453198599
1004,2,6.122443688169284,6.132860049755453
1004,3,6.114245453467357,6.1172345215105075
1004,4,6.135355910162025,6.124296354610544
1004,5,6.132789299534887,6.121503098998907
1004,6,6.15032123075433,6.122627918404259
1004,7,6.140134576650489,6.1296846906115885
1004,8,6.132386148527441,6.112820085168458
1004,9,6.1113681529254595,6.145160249281696
1004,10,6.130379715913669,6.1171559465973875
1004,11,6.124263795472799,6.116778988633057
1004,12,6.128728755167985,6.104186774562257
1004,13,6.135486122778971,6.119939765755794
1004,14,6.157843850932427,6.134691145164239
1004,15,6.147433865445239,6.1143478276565055
1004,16,6.088502252041056,6.141693390545359
1004,17,6.127144423686469,6.1306762920085305
1004,18,6.105289894008906,6.1336180721959295
1004,19,6.146981078743602,6.152884181148093
1004,20,6.117532859615799,6.143361227519932
1004,21,6.125985451689686,6.1308246108858055
1004,22,6.1177341079434955,6.144396082349353
1004,23,6.115932184982856,6.106561594807041
1004,24,6.138189251263862,6.164184684317601
1004,25,6.141130349038242,6.130510157822584
1004,26,6.0886086877585965,6.125424189833785
1004,27,6.141453757559532,6.122901230618959
1004,28,6.123059776447658,6.103338373461785
1004,29,6.128834797681894,6.144718173761195
1004,30,6.103223420762819,6.126843233664089
1004,31,6.130188734911914,6.123863914265544
1004,32,6.0975256779910385,6.135756796960509
1004,33,6.126569909616982,6.120498100315652
1004,34,6.115279784570379,6.124660661869816
1004,35,6.133255895784979,6.108806979494009
1004,36,6.131777184655855,6.134152486509211
1004,37,6.137091118772746,6.14064350777033
1004,38,6.110422097925477,6.13241452029597
1004,39,6.1550767144812335,6.146632411322448
1004,40,6.137436155296679,6.131764020775724
1004,41,6.116303819597143,6.11068933646781
1004,42,6.14964190810462,6.147885835260466
1004,43,6.105343692918986,6.1333593917891465
1004,44,6.128313806604412,6.130892869502891
1004,45,6.097401707847543,6.1165742548318525
1004,46,6.110934417019753,6.127877832355846
1004,47,6.120231950070984,6.141356780643988
1004,48,6.160165914808599,6.144405554370123
1004,49,6.132873586211223,6.1396827443337045
1004,50,6.138555076501406,6.105274851791882
1004,51,6.1118269199221285,6.144315720367775
1004,52,6.120105780296563,6.121062223457889
1004,53,6.116225844222114,6.1202145745765995
1004,54,6.146387942196989,6.112342510485423
